id,observations,start,end,duration_days,lat_min,lat_max,lon_min,lon_max
a01,100,1978-07-23,1979-05-06,287,-60.2193,0.0,-48.5586,0.0
a02,92,1978-07-23,1979-10-21,455,-63.29,0.0,-53.76,0.0
a03,4,1979-02-04,1979-06-17,133,-59.5,-58.3,-44.5,-43.9
a05,8,1979-10-28,1979-11-04,7,-61.1,-60.8,-51.0,-50.4
a06,3,1979-11-04,1980-01-13,70,-63.8,-61.6,-60.0,-52.5
a08,3,1979-12-23,1980-02-03,42,-51.7,-49.5,-36.5,-29.0
a11,2,1980-05-04,1980-05-18,14,-71.6,-70.5,-44.3,-43.8
a12,4,1980-07-20,1980-09-28,70,-66.6,-66.6,-60.2,-60.2
a13,40,1980-08-10,1981-01-25,168,-74.7,-73.8,-38.5,-27.3
a14,2,1980-12-14,1981-01-25,42,-72.3,-72.3,-36.0,-36.0
a15,28,1981-03-22,1981-08-02,133,-72.6,-66.1,-54.0,-47.7
a16,43,1981-11-15,1982-05-16,182,-59.7,-55.2,-50.9,-37.2
a17,4,1983-04-17,1983-05-29,42,-64.3,-61.0,-51.1,-49.2
a19,29,1983-04-17,1984-06-10,420,-77.9,-67.3,-59.8,-44.0
a20,38,1986-01-26,1986-08-17,203,-68.4,-65.3,-59.8,-56.0
a20a,202,1986-09-07,1988-03-27,567,-64.7,-51.9,-55.5,-30.0
a20b,232,1986-09-07,1988-02-07,518,-65.3,-46.3,-56.6,-22.3
a21,33,1986-07-27,1986-12-14,140,-68.0,-66.7,-60.4,-59.0
a21a,49,1987-06-21,1988-01-03,196,-64.6,-58.2,-55.8,-44.8
a22,1092,1986-09-28,1994-02-08,2690,-78.0,0.0,-46.0,0.0
a22a,5000,1994-02-06,2007-10-23,5007,-76.7,0.0,-58.05,0.0
a22b,2260,1994-02-06,2000-09-17,2415,-76.2,0.0,-53.9,0.0
a22c,1128,1998-05-16,2001-12-02,1296,-69.7,0.0,-45.6,8.1
a23,317,1986-09-28,1991-12-01,1890,-78.0,-76.2,-44.3,-39.8
a23a,11953,1991-11-10,2026-03-31,12560,-76.5,0.0,-56.07,0.0
a23b,2838,1991-11-17,1999-11-09,2914,-76.8,0.0,-52.7,0.0
a24,402,1986-09-28,1992-03-08,1988,-77.9,-50.7,-55.5,-34.0
a24a,9,1992-03-29,1992-05-17,49,-49.8,-49.3,-54.6,-48.5
a24b,9,1992-03-29,1992-05-17,49,-50.0,-49.3,-54.5,-48.1
a24c,9,1992-03-29,1992-05-17,49,-49.8,-49.3,-54.5,-48.8
a24d,9,1992-03-29,1992-05-17,49,-50.8,-49.1,-54.4,-48.3
a25,183,1986-10-19,1990-03-25,1253,-79.1,-58.0,-55.0,-38.8
a26,27,1987-10-04,1988-04-17,196,-64.2,-59.5,-56.2,-46.2
a27,4980,1994-10-02,2011-10-23,6230,-77.2,0.0,-57.62,0.0
a28,256,1989-09-24,1992-11-29,1162,-76.4,0.0,-60.5,0.0
a29,136,1989-12-24,1992-08-03,953,-72.1,0.0,-52.8,0.0
a30,3,1991-03-17,1991-05-12,56,-74.3,-73.0,-35.5,-28.4
a31,208,1991-03-31,1992-08-24,512,-65.8,0.0,-59.5,0.0
a32,102,1995-02-12,1995-05-24,101,-65.8,0.0,-59.5,0.0
a32a,198,1995-05-28,1995-12-11,197,-65.0,0.0,-57.7,0.0
a33,2,1994-06-12,1994-07-10,28,-61.4,-61.4,-51.2,-51.2
a34,2,1996-09-01,1996-09-29,28,-72.2,-72.2,-16.9,-16.9
a34a,1706,2000-05-15,2005-06-13,1855,-75.1474,-49.0279,-60.1566,-15.2303
a35,1593,1994-05-22,1998-09-30,1592,-76.65,0.0,-38.8,0.0
a35a,706,1998-09-27,2000-11-12,777,-76.3,0.0,-56.3,0.0
a35b,265,1998-09-27,2000-11-12,777,-76.2,0.0,-56.1,0.0
a35c,204,1998-12-06,2000-11-12,707,-75.7,0.0,-58.1,0.0
a36,165,1998-04-28,1998-10-09,164,-71.5,0.0,-60.4,0.0
a37,5,1998-05-03,1998-08-02,91,-71.4,-69.6,-60.8,-59.9
a38a,1634,1998-10-18,2004-07-26,2108,-77.3,0.0,-59.8,0.0
a38b,2091,1998-10-18,2004-11-24,2229,-76.8,0.0,-59.5,0.0
a38c,998,1998-10-18,2004-01-05,1905,-77.1,0.0,-58.9,0.0
a38d,1554,1999-07-21,2004-01-29,1653,-71.5,0.0,-58.4,0.0
a38e,127,2004-04-27,2004-08-31,126,-53.2372,-50.2513,-30.3215,-16.3536
a38f,54,2004-04-29,2004-06-21,53,-52.8733,-51.2627,-27.5651,-20.8528
a38g,2,2002-01-17,2002-01-18,1,-65.2578,-65.2133,-55.9537,-55.7533
a39,151,1998-10-25,2001-01-01,799,-76.6,-65.4,-60.8,-52.3
a40,40,1999-01-31,2001-05-06,826,-77.8,-77.3,-50.3,-49.0
a40a,196,2000-10-26,2001-05-09,195,-77.3623,-77.1418,-50.2639,-48.6688
a41,157,1999-01-31,2001-01-02,702,-76.8,-66.7,-60.6,-52.3
a42,696,1999-05-16,2003-10-24,1622,-77.7,0.0,-49.9,0.0
a43a,1608,2000-02-20,2005-01-30,1806,-76.1,0.0,-60.9,0.0
a43b,1372,2000-05-07,2004-02-14,1378,-77.0,0.0,-59.9,0.0
a43c,1498,2000-05-07,2004-07-02,1517,-76.4,0.0,-56.8,0.0
a43d,3840,2001-04-29,2012-02-05,3934,-71.4,0.0,-60.9,0.0
a43e,441,2001-04-29,2005-12-18,1694,-71.1,0.0,-60.4,0.0
a43f,2787,2001-06-06,2009-01-21,2786,-71.1,0.0,-60.05,0.0
a43g,791,2001-06-06,2007-11-25,2363,-69.2,0.0,-56.5,0.0
a43h,32,2001-09-30,2002-01-13,105,-68.4,0.0,-56.9,0.0
a43i,112,2001-09-30,2003-10-19,749,-70.1,0.0,-57.5,0.0
a43j,136,2001-12-02,2005-03-22,1206,-69.5,0.0,-60.6,0.0
a43k,485,2007-11-25,2009-04-05,497,-63.93,0.0,-53.72,0.0
a44,3,2001-02-04,2001-11-25,294,-74.1,-68.2,-56.5,-11.5
a45,125,2001-08-21,2002-03-11,202,-69.6,0.0,-59.5,0.0
a46,550,2001-10-04,2003-10-24,750,-56.5,0.0,-46.65,0.0
a47,674,2001-05-20,2003-04-13,693,-59.5,0.0,-53.8,0.0
a48,732,2002-03-14,2004-03-15,732,-64.7,0.0,-54.2,0.0
a49,2,2003-01-01,2003-01-26,25,-63.6,-63.1,-52.1,-52.0
a50,85,2003-02-25,2003-06-15,110,-62.5,0.0,-53.1,0.0
a52,1160,2003-02-09,2006-05-04,1180,-65.8,0.0,-60.7,0.0
a53,2,2005-01-09,2005-01-30,21,-67.22,-67.22,-60.53,-60.43
a53a,1077,2005-02-06,2008-04-25,1174,-67.27,0.0,-60.38,0.0
a53b,291,2005-02-06,2006-10-15,616,-67.02,-63.0,-61.225,-53.65
a54,314,2006-01-18,2006-11-28,314,-65.73,0.0,-61.48,0.0
a54a,71,2006-07-30,2007-02-11,196,-64.595,-60.93,-56.285,-51.55
a54b,8,2006-07-30,2006-08-06,7,-64.65,-64.645,-56.425,-56.42
a55,310,2008-02-10,2009-08-04,541,-65.82,0.0,-61.88,0.0
a56,2938,2008-05-25,2016-11-18,3099,-77.15,0.0,-60.48,0.0
a57,1980,2008-05-25,2016-01-01,2777,-77.66,0.0,-59.0667,0.0
a57a,1284,2016-01-04,2019-08-09,1313,-71.6333,0.0,-59.75,0.0
a57b,1059,2015-12-31,2018-11-23,1058,-69.9167,0.0,-60.4667,0.0
a58,19,2008-07-06,2008-11-16,133,-70.15,-70.05,-72.82,-72.63
a59,303,2008-07-06,2011-02-27,966,-70.74,-69.73,-76.46,-72.92
a60,24,2008-07-06,2010-01-24,567,-70.35,-70.27,-72.97,-72.8
a61,2933,2010-01-24,2018-02-28,2957,-73.7,0.0,-38.1333,0.0
a62,921,2011-01-23,2013-08-18,938,-74.59,0.0,-48.33,0.0
a62a,140,2013-04-05,2013-08-22,139,-57.5167,-53.8857,-31.8707,-25.8764
a63,3301,2012-11-24,2021-12-12,3305,-77.78,0.0,-57.21,0.0
a64,3122,2014-04-11,2022-12-16,3171,-69.7333,0.0,-61.29,0.0
a65,68,2015-12-31,2016-03-07,67,-54.5667,0.0,-36.3167,0.0
a66,461,2016-01-01,2017-04-05,460,-63.9,0.0,-55.2833,0.0
a67,162,2016-01-01,2016-06-10,161,-76.8333,0.0,-35.0333,0.0
a68,76,2017-06-26,2017-09-22,88,-67.8158,-67.747,-60.9934,-60.691
a68a,1324,2017-09-01,2021-04-21,1328,-67.9833,0.0,-60.85,0.0
a68b,1097,2017-09-01,2020-09-01,1096,-67.2833,0.0,-60.8,0.0
a68c,207,2020-04-24,2020-12-12,232,-60.4167,0.0,-51.4167,0.0
a68d,43,2020-12-18,2021-01-29,42,-55.52,-55.24,-36.61,-34.93
a68e,69,2020-12-23,2021-03-01,68,-56.46,0.0,-38.39,0.0
a68f,7,2020-12-25,2020-12-31,6,-56.49,-56.49,-35.0,-35.0
a68g,45,2021-01-27,2021-03-12,44,-57.02,-55.41,-36.57,-34.7
a68h,44,2021-01-29,2021-03-13,43,-56.21,0.0,-36.59,0.0
a68i,29,2021-01-29,2021-02-26,28,-56.28,-52.72,-35.81,-34.63
a68j,43,2021-01-30,2021-03-13,42,-57.47,0.0,-35.96,0.0
