ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-75.22,-25.78,1,2021059,-76.54,-46.81,1,30,18
-75.22,-25.78,1,2021060,-76.54,-46.81,1,30,18
-75.22,-25.78,1,2021061,-76.54,-46.81,1,30,18
-75.2217,-25.6743,1,2021062,-76.54,-46.81,1,30,18
-75.2217,-25.6743,1,2021063,-76.54,-46.81,1,30,18
-75.1852,-25.5959,1,2021064,-76.54,-46.81,1,30,18
-75.1852,-25.5959,1,2021065,-76.54,-46.81,1,30,18
-75.1852,-25.5959,1,2021066,-76.54,-46.81,1,30,18
-75.1852,-25.5959,1,2021067,-76.54,-46.81,1,30,18
-75.1852,-25.5959,1,2021068,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021069,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021070,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021071,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021072,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021073,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021074,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021075,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021076,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021077,-76.54,-46.81,1,30,18
-75.1821,-25.6314,1,2021078,-76.54,-46.81,1,30,18
-75.2289,-25.8125,1,2021079,-76.54,-46.81,1,30,18
-75.2289,-25.8125,1,2021080,-76.54,-46.81,1,30,18
-75.2289,-25.8125,1,2021081,-76.54,-46.81,1,30,18
-75.2289,-25.8125,1,2021082,-76.54,-46.81,1,30,18
-75.2289,-25.8125,1,2021083,-76.54,-46.81,1,30,18
-75.2289,-25.8125,1,2021084,-76.54,-46.81,1,30,18
-75.21,-25.96,1,2021085,-76.54,-46.81,1,30,18
-75.21,-25.96,1,2021086,-76.54,-46.81,1,30,18
-75.21,-25.96,1,2021087,-76.54,-46.81,1,30,18
-75.21,-25.96,1,2021088,-76.54,-46.81,1,30,18
-75.2083,-25.7833,1,2021089,-76.54,-46.81,1,30,18
