ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-75.57,-57.04,1,2021147,-75.57,-57.04,1,16,7
-75.57,-57.04,1,2021148,-75.57,-57.04,1,16,7
-75.57,-57.04,1,2021149,-75.558,-57.0095,0,0,0
-75.5523,-56.9093,1,2021150,-75.5257,-56.9303,0,0,0
-75.4743,-56.9196,1,2021151,-75.4789,-56.8209,0,0,0
-75.3914,-56.7949,1,2021152,-75.4232,-56.6997,0,0,0
-75.3914,-56.7949,1,2021153,-75.3643,-56.5852,0,0,0
-75.345,-56.5325,1,2021154,-75.3081,-56.4958,0,0,0
-75.26,-56.45,1,2021155,-75.26,-56.45,1,16,7
-75.1848,-56.4804,1,2021156,-75.2167,-56.433,0,0,0
-75.0823,-56.3141,1,2021157,-75.172,-56.4179,0,0,0
-75.0502,-56.3589,1,2021158,-75.1273,-56.4049,0,0,0
-75.0502,-56.3589,1,2021159,-75.0842,-56.3944,0,0,0
-75.0214,-56.1919,1,2021160,-75.0442,-56.3866,0,0,0
-75.0214,-56.1919,1,2021161,-75.009,-56.3817,0,0,0
-75.0291,-56.3699,1,2021162,-74.98,-56.38,1,16,7
-75.0291,-56.3699,1,2021163,-74.9572,-56.4049,0,0,0
-74.9688,-56.5673,1,2021164,-74.9386,-56.4692,0,0,0
-74.9688,-56.5673,1,2021165,-74.9224,-56.5571,0,0,0
-74.9688,-56.5673,1,2021166,-74.9071,-56.6529,0,0,0
-74.9688,-56.5673,1,2021167,-74.891,-56.7408,0,0,0
-74.9688,-56.5673,1,2021168,-74.8725,-56.8051,0,0,0
-74.8979,-56.6515,1,2021169,-74.85,-56.83,1,16,7
-74.7911,-56.5931,1,2021170,-74.8203,-56.8106,0,0,0
-74.7583,-56.6331,1,2021171,-74.7831,-56.7606,0,0,0
-74.6792,-56.5063,1,2021172,-74.7411,-56.6922,0,0,0
-74.634,-56.6708,1,2021173,-74.697,-56.6178,0,0,0
-74.615,-56.5776,1,2021174,-74.6537,-56.5494,0,0,0
-74.586,-56.6077,1,2021175,-74.6138,-56.4994,0,0,0
-74.5648,-56.5671,1,2021176,-74.58,-56.48,1,16,7
-74.5358,-56.597,1,2021177,-74.551,-56.4857,0,0,0
-74.344,-56.5599,1,2021178,-74.5237,-56.5012,0,0,0
-74.173,-56.3054,1,2021179,-74.4979,-56.5244,0,0,0
-74.173,-56.3054,0,2021180,-74.4737,-56.5531,0,0,0
-74.173,-56.3054,1,2021181,-74.451,-56.5851,0,0,0
-74.225,-56.3351,0,2021182,-74.4298,-56.6181,0,0,0
-74.2882,-56.4038,1,2021183,-74.41,-56.65,1,16,7
-74.3078,-56.6138,0,2021184,-74.3922,-56.6866,0,0,0
-74.3161,-56.7847,1,2021185,-74.3763,-56.7322,0,0,0
-74.3161,-56.7847,0,2021186,-74.3617,-56.7823,0,0,0
-74.3161,-56.7847,1,2021187,-74.3475,-56.8326,0,0,0
-74.3161,-56.7847,0,2021188,-74.333,-56.8786,0,0,0
-74.3161,-56.7847,0,2021189,-74.3174,-56.9158,0,0,0
-74.3161,-56.7847,1,2021190,-74.3,-56.94,1,16,7
-74.3161,-56.7847,1,2021191,-74.2811,-56.9538,0,0,0
-74.3059,-56.803,0,2021192,-74.2613,-56.9638,0,0,0
-74.2786,-56.8504,0,2021193,-74.2404,-56.9716,0,0,0
-74.2393,-56.916,0,2021194,-74.2181,-56.9786,0,0,0
-74.193,-56.9888,0,2021195,-74.1942,-56.9864,0,0,0
-74.1447,-57.0576,0,2021196,-74.1682,-56.9963,0,0,0
-74.0994,-57.1116,1,2021197,-74.14,-57.01,1,16,7
-74.0465,-57.1576,0,2021198,-74.1023,-57.0373,0,0,0
-73.9813,-57.2052,0,2021199,-74.0524,-57.0818,0,0,0
-73.9176,-57.2478,0,2021200,-73.997,-57.1359,0,0,0
-73.8692,-57.2783,0,2021201,-73.9425,-57.1916,0,0,0
-73.85,-57.29,1,2021202,-73.8955,-57.241,0,0,0
-73.85,-57.29,1,2021203,-73.8625,-57.2764,0,0,0
-73.85,-57.29,1,2021204,-73.85,-57.29,1,16,7
-73.7756,-57.5012,1,2021205,-73.8528,-57.2883,0,0,0
-73.7756,-57.5012,0,2021206,-73.8599,-57.2841,0,0,0
-73.7756,-57.5012,1,2021207,-73.8697,-57.2782,0,0,0
-73.7756,-57.5012,1,2021208,-73.8803,-57.2718,0,0,0
-73.9,-57.26,1,2021209,-73.8901,-57.2659,0,0,0
-73.9,-57.26,1,2021210,-73.8972,-57.2617,0,0,0
-73.8984,-57.2684,0,2021211,-73.9,-57.26,1,16,7
-73.8941,-57.2912,0,2021212,-73.8982,-57.2714,0,0,0
-73.8875,-57.3251,0,2021213,-73.8929,-57.3024,0,0,0
-73.8793,-57.3666,0,2021214,-73.8846,-57.3485,0,0,0
-73.8699,-57.4124,1,2021215,-73.8738,-57.4049,0,0,0
