ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-77.6986,-49.0149,1,2025047,-77.51,-48.54,1,10,3
-77.6986,-49.0149,1,2025048,-77.51,-48.54,1,10,3
-77.515,-48.9835,1,2025049,-77.51,-48.54,1,10,3
-77.515,-48.9835,1,2025050,-77.51,-48.54,1,10,3
-77.515,-48.9835,1,2025051,-77.51,-48.54,1,10,3
-77.515,-48.9835,1,2025052,-77.51,-48.54,1,10,3
-77.4493,-49.0611,1,2025053,0,0,0,0,0
-77.4185,-49.0944,1,2025054,0,0,0,0,0
-77.4283,-49.1654,1,2025055,0,0,0,0,0
-77.3495,-49.1017,1,2025056,0,0,0,0,0
-77.3136,-49.1076,1,2025057,0,0,0,0,0
-77.2829,-49.3161,1,2025058,-77.2383,-49.0443,0,0,0
-77.2234,-49.4598,1,2025059,-77.19,-49.12,1,10,3
-77.2234,-49.4598,1,2025060,-77.1497,-49.1713,0,0,0
-77.2097,-49.3382,1,2025061,-77.1113,-49.2113,0,0,0
-77.078,-49.4319,1,2025062,-77.0741,-49.2471,0,0,0
-77.078,-49.4319,1,2025063,-77.0371,-49.2858,0,0,0
-77.037,-49.3548,1,2025064,-76.9993,-49.3344,0,0,0
-76.96,-49.397,1,2025065,-76.96,-49.4,1,10,3
-76.96,-49.397,1,2025066,-76.9186,-49.5276,0,0,0
-76.9633,-49.3072,1,2025067,-76.8756,-49.7383,0,0,0
-76.9633,-49.3072,0,2025068,-76.8318,-50.0033,0,0,0
-76.9633,-49.3072,1,2025069,-76.7876,-50.2937,0,0,0
-76.843,-49.1069,0,2025070,-76.7439,-50.5809,0,0,0
-76.7105,-48.8735,1,2025071,-76.7011,-50.8359,0,0,0
-76.691,-48.8178,0,2025072,-76.66,-51.03,1,10,3
-76.6836,-48.7953,1,2025073,-76.6203,-51.1709,0,0,0
-76.6871,-48.874,0,2025074,-76.5813,-51.2902,0,0,0
-76.6964,-49.0909,0,2025075,-76.5429,-51.3948,0,0,0
-76.7098,-49.4169,0,2025076,-76.5051,-51.4916,0,0,0
-76.7258,-49.8231,0,2025077,-76.468,-51.5876,0,0,0
-76.7426,-50.2804,0,2025078,-76.4314,-51.6897,0,0,0
-76.7586,-50.7598,0,2025079,-76.3955,-51.8049,0,0,0
-76.772,-51.2322,0,2025080,-76.36,-51.94,1,10,3
-76.7813,-51.6688,0,2025081,-76.3253,-52.1102,0,0,0
-76.7848,-52.0405,1,2025082,-76.2915,-52.315,0,0,0
-76.6938,-52.419,0,2025083,-76.2583,-52.5378,0,0,0
-76.4935,-52.8233,0,2025084,-76.2255,-52.7623,0,0,0
-76.2932,-53.1452,0,2025085,-76.1928,-52.9718,0,0,0
-76.2022,-53.2765,1,2025086,-76.16,-53.15,1,10,3
-76.2022,-53.2765,1,2025087,-76.1258,-53.3065,0,0,0
-76.2022,-53.2765,1,2025088,-76.0897,-53.4601,0,0,0
-76.1317,-53.6892,1,2025089,-76.053,-53.6079,0,0,0
-76.1317,-53.6892,1,2025090,-76.0167,-53.7471,0,0,0
-76.1317,-53.6892,1,2025091,-75.9822,-53.8748,0,0,0
-76.1305,-53.7013,0,2025092,-75.9504,-53.9881,0,0,0
-76.1267,-53.7346,0,2025093,-75.9226,-54.0841,0,0,0
-76.1202,-53.785,0,2025094,-75.9,-54.16,1,10,3
-76.1109,-53.8482,0,2025095,-75.8827,-54.2248,0,0,0
-76.0986,-53.9199,0,2025096,-75.8691,-54.2877,0,0,0
-76.0832,-53.9958,0,2025097,-75.8576,-54.3456,0,0,0
-76.0646,-54.0717,0,2025098,-75.8465,-54.3957,0,0,0
-76.0426,-54.1434,0,2025099,-75.8343,-54.435,0,0,0
-76.017,-54.2066,0,2025100,-75.8194,-54.4608,0,0,0
-75.9879,-54.257,0,2025101,-75.8,-54.47,1,10,3
-75.9549,-54.2903,0,2025102,-75.7649,-54.4451,0,0,0
-75.918,-54.3024,1,2025103,-75.7101,-54.3808,0,0,0
-75.7929,-54.1383,0,2025104,-75.6446,-54.2929,0,0,0
-75.6313,-53.9742,1,2025105,-75.5776,-54.1971,0,0,0
-75.5117,-53.9941,0,2025106,-75.5184,-54.1092,0,0,0
-75.407,-54.031,0,2025107,-75.4761,-54.0449,0,0,0
-75.3621,-54.0509,1,2025108,-75.46,-54.02,1,10,3
-75.3621,-54.0509,0,2025109,-75.4607,-54.04,0,0,0
-75.3621,-54.0509,1,2025110,-75.4628,-54.0919,0,0,0
-75.3733,-54.0942,0,2025111,-75.4659,-54.1633,0,0,0
-75.4028,-54.2085,0,2025112,-75.47,-54.2416,0,0,0
-75.4445,-54.3701,0,2025113,-75.4748,-54.3147,0,0,0
-75.4923,-54.5553,0,2025114,-75.48,-54.37,1,10,3
-75.54,-54.7405,0,2025115,-75.4902,-54.4136,0,0,0
-75.5817,-54.9021,0,2025116,-75.508,-54.4582,0,0,0
-75.6112,-55.0164,0,2025117,-75.5307,-54.5019,0,0,0
-75.6224,-55.0597,1,2025118,-75.5554,-54.5423,0,0,0
-75.6224,-55.0597,1,2025119,-75.5795,-54.5775,0,0,0
-75.6224,-55.0597,1,2025120,-75.6002,-54.6052,0,0,0
-75.6224,-55.0597,1,2025121,-75.6146,-54.6235,0,0,0
-75.6224,-55.0597,1,2025122,-75.62,-54.63,1,10,3
-75.6224,-55.0597,1,2025123,-75.6172,-54.63,0,0,0
-75.6224,-55.0597,1,2025124,-75.6101,-54.63,0,0,0
-75.5626,-55.3545,1,2025125,-75.6003,-54.63,0,0,0
-75.5626,-55.3545,1,2025126,-75.5897,-54.63,0,0,0
-75.6143,-54.9655,1,2025127,-75.5799,-54.63,0,0,0
-75.6143,-54.9655,1,2025128,-75.5728,-54.63,0,0,0
-75.6143,-54.9655,0,2025129,-75.57,-54.63,1,10,3
-75.6143,-54.9655,1,2025130,-75.5706,-54.6361,0,0,0
-75.5846,-54.9619,0,2025131,-75.572,-54.6524,0,0,0
-75.5548,-54.9582,1,2025132,-75.5739,-54.6754,0,0,0
-75.5548,-54.9582,1,2025133,-75.5761,-54.7019,0,0,0
-75.5173,-55.2916,0,2025134,-75.578,-54.7288,0,0,0
-75.4642,-55.625,1,2025135,-75.5794,-54.7525,0,0,0
-75.4429,-55.6142,0,2025136,-75.58,-54.77,1,10,3
-75.417,-55.5812,1,2025137,-75.5611,-54.7836,0,0,0
-75.323,-55.3232,1,2025138,-75.5117,-54.7973,0,0,0
-75.2668,-55.1806,1,2025139,-75.4429,-54.8099,0,0,0
-75.3805,-55.2571,1,2025140,-75.3657,-54.8203,0,0,0
-75.2863,-55.1152,1,2025141,-75.291,-54.8274,0,0,0
-75.1846,-54.8255,1,2025142,-75.23,-54.83,1,10,3
-75.141,-54.5822,1,2025143,-75.1805,-54.795,0,0,0
-75.0974,-54.497,0,2025144,-75.1331,-54.7032,0,0,0
-75.0511,-54.4204,0,2025145,-75.0875,-54.5742,0,0,0
-75.0033,-54.3521,0,2025146,-75.0436,-54.4277,0,0,0
-74.9549,-54.292,0,2025147,-75.0012,-54.2834,0,0,0
-74.9069,-54.2398,0,2025148,-74.96,-54.1609,0,0,0
-74.8603,-54.1953,0,2025149,-74.92,-54.08,1,10,3
-74.8162,-54.1582,0,2025150,-74.8816,-54.0291,0,0,0
-74.7756,-54.1284,0,2025151,-74.8452,-53.9835,0,0,0
-74.7395,-54.1056,0,2025152,-74.8101,-53.943,0,0,0
-74.7089,-54.0896,0,2025153,-74.7757,-53.9076,0,0,0
-74.6848,-54.0802,0,2025154,-74.7413,-53.877,0,0,0
-74.6683,-54.0771,1,2025155,-74.7063,-53.8512,0,0,0
-74.6593,-54.1617,0,2025156,-74.67,-53.83,1,10,3
-74.6508,-54.2463,1,2025157,-74.6317,-53.8133,0,0,0
-74.6394,-54.1356,0,2025158,-74.5918,-53.8,0,0,0
-74.6244,-53.9301,0,2025159,-74.5511,-53.7888,0,0,0
-74.6007,-53.8194,1,2025160,-74.5106,-53.7786,0,0,0
-74.5107,-53.8521,0,2025161,-74.4713,-53.7679,0,0,0
-74.4118,-53.8848,1,2025162,-74.4341,-53.7554,0,0,0
-74.3659,-53.8831,0,2025163,-74.4,-53.74,1,10,3
-74.3241,-53.8785,0,2025164,-74.3662,-53.7172,0,0,0
-74.2869,-53.8721,0,2025165,-74.3304,-53.6861,0,0,0
-74.2549,-53.8647,0,2025166,-74.2945,-53.65,0,0,0
-74.2289,-53.8573,0,2025167,-74.2604,-53.6126,0,0,0
-74.2096,-53.8509,0,2025168,-74.2301,-53.5774,0,0,0
-74.1975,-53.8463,0,2025169,-74.2053,-53.5479,0,0,0
-74.1933,-53.8446,1,2025170,-74.188,-53.5276,0,0,0
-74.2418,-54.0381,1,2025171,-74.18,-53.52,1,10,3
-74.1991,-53.7751,1,2025172,-74.1778,-53.5327,0,0,0
-74.2561,-53.7622,1,2025173,-74.1764,-53.5656,0,0,0
-74.3372,-53.7599,1,2025174,-74.1754,-53.6105,0,0,0
-74.3168,-53.8585,1,2025175,-74.1746,-53.6595,0,0,0
