ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-72.61,-127.41,1,2024227,-72.61,-127.41,1,22,15
-72.7008,-127.8099,1,2024228,-72.61,-127.41,1,22,15
-72.7888,-127.9062,1,2024229,-72.6332,-127.4332,0,0,0
-72.8527,-127.9791,1,2024230,-72.6944,-127.4959,0,0,0
-72.9275,-128.0044,1,2024231,-72.7806,-127.5881,0,0,0
-72.9619,-128.0771,1,2024232,-72.8791,-127.6997,0,0,0
-73.0046,-128.1137,1,2024233,-72.977,-127.8206,0,0,0
-73.0626,-128.27,1,2024234,-73.0616,-127.9408,0,0,0
-73.1986,-128.4043,1,2024235,-73.12,-128.05,1,22,15
-73.1986,-128.4043,1,2024236,-73.1579,-128.167,0,0,0
-73.1986,-128.4043,1,2024237,-73.1904,-128.3071,0,0,0
-73.2464,-128.437,1,2024238,-73.2188,-128.4554,0,0,0
-73.2464,-128.437,1,2024239,-73.2446,-128.5968,0,0,0
-73.3181,-128.536,1,2024240,-73.2692,-128.7164,0,0,0
-73.3181,-128.536,1,2024241,-73.2938,-128.7991,0,0,0
-73.3181,-128.536,1,2024242,-73.32,-128.83,1,22,15
-73.3181,-128.536,1,2024243,-73.3469,-128.8221,0,0,0
-73.3181,-128.536,1,2024244,-73.3731,-128.7998,0,0,0
-73.3181,-128.536,1,2024245,-73.3988,-128.7657,0,0,0
-73.4213,-128.4028,1,2024246,-73.4243,-128.722,0,0,0
-73.4213,-128.4028,1,2024247,-73.45,-128.6713,0,0,0
-73.5233,-128.4062,1,2024248,-73.4759,-128.6157,0,0,0
-73.5233,-128.4062,1,2024249,-73.5025,-128.5579,0,0,0
-73.5233,-128.4062,1,2024250,-73.53,-128.5,1,22,15
-73.5809,-128.2243,1,2024251,-73.5589,-128.4232,0,0,0
-73.5809,-128.2243,1,2024252,-73.5893,-128.3169,0,0,0
-73.5809,-128.2243,1,2024253,-73.6204,-128.1962,0,0,0
-73.5809,-128.2243,1,2024254,-73.6517,-128.0761,0,0,0
-73.7233,-127.7711,1,2024255,-73.6824,-127.9716,0,0,0
-73.7233,-127.7711,1,2024256,-73.7121,-127.8979,0,0,0
-73.7233,-127.7711,1,2024257,-73.74,-127.87,1,22,15
-73.7996,-128.0468,1,2024258,-73.7676,-127.8789,0,0,0
-73.7996,-128.0468,1,2024259,-73.7961,-127.9031,0,0,0
-73.7996,-128.0468,1,2024260,-73.8242,-127.9392,0,0,0
-73.8285,-128.1281,1,2024261,-73.8508,-127.9835,0,0,0
