ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-72.46,-127.08,1,2024227,-72.46,-127.08,1,9,5
-72.58,-127.8753,1,2024228,-72.46,-127.08,1,9,5
-72.634,-128.2242,1,2024229,-72.4914,-127.1653,0,0,0
-72.7855,-128.4154,1,2024230,-72.5743,-127.3853,0,0,0
-72.8241,-128.5775,1,2024231,-72.6914,-127.6861,0,0,0
-73.0348,-128.4469,1,2024232,-72.8257,-128.0139,0,0,0
-73.0348,-128.4469,1,2024233,-72.96,-128.3147,0,0,0
-73.0835,-128.6604,1,2024234,-73.0771,-128.5347,0,0,0
-73.0835,-128.6604,1,2024235,-73.16,-128.62,1,9,5
-73.2581,-128.6866,1,2024236,-73.2167,-128.619,0,0,0
-73.2581,-128.6866,1,2024237,-73.2673,-128.6162,0,0,0
-73.2581,-128.6866,1,2024238,-73.3128,-128.6117,0,0,0
-73.2581,-128.6866,1,2024239,-73.3539,-128.6057,0,0,0
-73.4106,-128.7334,1,2024240,-73.3916,-128.5983,0,0,0
-73.4106,-128.7334,1,2024241,-73.4267,-128.5897,0,0,0
-73.4106,-128.7334,1,2024242,-73.46,-128.58,1,9,5
-73.4106,-128.7334,1,2024243,-73.4908,-128.5612,0,0,0
-73.4106,-128.7334,1,2024244,-73.5183,-128.5269,0,0,0
-73.4106,-128.7334,1,2024245,-73.5435,-128.4799,0,0,0
-73.5645,-128.6424,1,2024246,-73.5674,-128.4229,0,0,0
-73.5645,-128.6424,1,2024247,-73.591,-128.3587,0,0,0
-73.5645,-128.6424,1,2024248,-73.6153,-128.29,0,0,0
-73.67,-128.15,1,2024249,-73.6413,-128.2195,0,0,0
-73.67,-128.15,1,2024250,-73.67,-128.15,1,9,5
-73.6884,-128.2021,1,2024251,-73.7011,-128.0645,0,0,0
-73.6884,-128.2021,1,2024252,-73.7335,-127.9536,0,0,0
-73.6884,-128.2021,1,2024253,-73.7675,-127.8314,0,0,0
-73.7988,-127.6968,1,2024254,-73.8031,-127.7119,0,0,0
-73.7988,-127.6968,1,2024255,-73.8403,-127.6091,0,0,0
-73.9451,-128.0061,1,2024256,0,0,0,0,0
-73.9451,-128.0061,1,2024257,-73.92,-127.51,1,9,5
-74.0766,-128.0483,1,2024258,0,0,0,0,0
-74.0766,-128.0483,1,2024259,0,0,0,0,0
-74.0766,-128.0483,1,2024260,0,0,0,0,0
-74.0766,-128.0483,1,2024261,0,0,0,0,0
-74.1681,-128.4378,1,2024262,0,0,0,0,0
-74.1681,-128.4378,1,2024263,0,0,0,0,0
-74.1681,-128.4378,1,2024264,-74.27,-128.54,1,9,5
-74.1681,-128.4378,1,2024265,0,0,0,0,0
-74.1681,-128.4378,1,2024266,0,0,0,0,0
-74.1681,-128.4378,1,2024267,0,0,0,0,0
-74.2349,-129.0784,1,2024268,0,0,0,0,0
-74.2349,-129.0784,1,2024269,0,0,0,0,0
-74.2349,-129.0784,1,2024270,-74.29,-129.18,1,9,5
-74.2349,-129.0784,1,2024271,0,0,0,0,0
-74.2663,-129.3856,1,2024272,0,0,0,0,0
-74.2663,-129.3856,1,2024273,0,0,0,0,0
-74.2503,-129.7875,1,2024274,0,0,0,0,0
-74.2503,-129.7875,1,2024275,0,0,0,0,0
-74.2503,-129.7875,1,2024276,0,0,0,0,0
-74.2895,-129.8848,1,2024277,0,0,0,0,0
-74.2895,-129.8848,1,2024278,-74.33,-129.68,1,9,5
-74.2571,-129.6781,1,2024279,0,0,0,0,0
-74.2031,-129.6851,1,2024280,0,0,0,0,0
-74.2031,-129.6851,1,2024281,0,0,0,0,0
-74.2031,-129.6851,1,2024282,0,0,0,0,0
-74.1304,-129.4783,1,2024283,-74.212,-129.4485,0,0,0
-74.1304,-129.4783,1,2024284,-74.18,-129.43,1,9,5
-74.1089,-129.8544,1,2024285,-74.1436,-129.4409,0,0,0
-74.1089,-129.8544,1,2024286,-74.0977,-129.472,0,0,0
-74.1089,-129.8544,1,2024287,-74.0467,-129.5212,0,0,0
-74.0087,-129.844,1,2024288,-73.9949,-129.5863,0,0,0
-74.0087,-129.844,1,2024289,-73.9469,-129.6649,0,0,0
-73.9169,-130.1114,1,2024290,-73.9072,-129.7548,0,0,0
-73.87,-129.96,1,2024291,-73.88,-129.854,0,0,0
-73.8327,-130.1716,1,2024292,-73.87,-129.96,1,9,5
-73.8327,-130.1716,1,2024293,-73.8728,-130.1397,0,0,0
-73.8327,-130.1716,1,2024294,-73.8799,-130.4304,0,0,0
-73.8258,-130.4245,1,2024295,-73.8897,-130.7859,0,0,0
-73.8258,-130.4245,1,2024296,-73.9003,-131.1599,0,0,0
-73.8518,-130.6308,1,2024297,-73.9101,-131.5061,0,0,0
-73.8518,-130.6308,1,2024298,-73.9172,-131.7782,0,0,0
-73.7677,-131.5634,1,2024299,-73.92,-131.93,1,9,5
-73.7274,-132.0116,1,2024300,-73.9193,-131.9935,0,0,0
-73.7274,-132.0116,1,2024301,-73.9172,-132.0377,0,0,0
-73.7274,-132.0116,1,2024302,-73.9141,-132.0715,0,0,0
-73.7274,-132.0116,1,2024303,-73.91,-132.1038,0,0,0
-73.9,-132.2,1,2024304,-73.9052,-132.1437,0,0,0
-73.9,-132.2,1,2024305,-73.9,-132.2,1,9,5
-73.9,-132.2,1,2024306,-73.8899,-132.2973,0,0,0
-73.9,-132.2,0,2024307,-73.8727,-132.4413,0,0,0
-73.9,-132.2,1,2024308,-73.8514,-132.6132,0,0,0
-73.9,-132.2,0,2024309,-73.8293,-132.794,0,0,0
-73.9,-132.2,1,2024310,-73.8096,-132.9647,0,0,0
-73.845,-132.6826,0,2024311,-73.7954,-133.1064,0,0,0
-73.79,-133.2,1,2024312,-73.79,-133.2,1,9,5
-73.7922,-133.2548,0,2024313,-73.7943,-133.2622,0,0,0
-73.7943,-133.2748,1,2024314,-73.8056,-133.3212,0,0,0
-73.7943,-133.2748,0,2024315,-73.8216,-133.3754,0,0,0
-73.7943,-133.2748,0,2024316,-73.84,-133.4233,0,0,0
-73.7943,-133.2748,1,2024317,-73.8584,-133.4633,0,0,0
-73.7943,-133.2748,1,2024318,-73.8744,-133.4937,0,0,0
-73.8191,-133.3384,0,2024319,-73.8857,-133.5132,0,0,0
-73.8652,-133.4564,0,2024320,-73.89,-133.52,1,9,5
-73.89,-133.52,1,2024321,-73.89,-133.52,0,0,0
-73.89,-133.52,1,2024322,-73.89,-133.52,0,0,0
-73.8892,-133.5542,0,2024323,-73.89,-133.52,0,0,0
-73.8874,-133.6295,0,2024324,-73.89,-133.52,0,0,0
-73.8855,-133.7048,0,2024325,-73.89,-133.52,0,0,0
-73.8847,-133.739,1,2024326,-73.89,-133.52,1,9,5
-73.8847,-133.739,1,2024327,-73.8905,-133.5272,0,0,0
-73.8847,-133.739,1,2024328,-73.8918,-133.5481,0,0,0
-73.8887,-133.7501,0,2024329,-73.894,-133.5812,0,0,0
-73.8973,-133.7745,0,2024330,-73.897,-133.6253,0,0,0
-73.906,-133.7989,0,2024331,-73.9007,-133.679,0,0,0
-73.91,-133.81,1,2024332,-73.9051,-133.741,0,0,0
-73.91,-133.81,1,2024333,-73.91,-133.81,1,9,5
-73.91,-133.81,1,2024334,-73.9269,-133.9493,0,0,0
-73.9442,-134.1113,0,2024335,-73.9627,-134.202,0,0,0
-74.0195,-134.7741,0,2024336,-74.011,-134.5366,0,0,0
-74.0948,-135.4368,0,2024337,-74.0652,-134.9214,0,0,0
-74.129,-135.7381,1,2024338,-74.1187,-135.3248,0,0,0
-74.129,-135.7381,1,2024339,-74.1651,-135.7151,0,0,0
-74.1828,-136.3682,1,2024340,-74.1977,-136.0607,0,0,0
-74.1741,-136.6905,0,2024341,-74.21,-136.33,1,9,5
-74.1532,-136.9645,0,2024342,-74.2,-136.5439,0,0,0
-74.1283,-137.1768,0,2024343,-74.1743,-136.7443,0,0,0
-74.1074,-137.3141,0,2024344,-74.1392,-136.9308,0,0,0
-74.0987,-137.3628,1,2024345,-74.1008,-137.1029,0,0,0
-74.0987,-137.3628,1,2024346,-74.0657,-137.2604,0,0,0
-74.0987,-137.3628,1,2024347,-74.04,-137.4029,0,0,0
-73.9577,-137.4508,1,2024348,-74.03,-137.53,1,9,5
-73.9699,-137.6167,0,2024349,-74.0337,-137.6441,0,0,0
-73.999,-137.8527,0,2024350,-74.0435,-137.7487,0,0,0
-74.0336,-138.0974,0,2024351,-74.058,-137.8449,0,0,0
-74.0627,-138.2894,0,2024352,-74.0755,-137.9339,0,0,0
-74.0749,-138.367,1,2024353,-74.0944,-138.017,0,0,0
-74.0749,-138.367,1,2024354,-74.1131,-138.0953,0,0,0
-74.0749,-138.367,1,2024355,-74.13,-138.17,1,9,5
-74.0749,-138.367,1,2024356,-74.1456,-138.2386,0,0,0
-74.091,-138.385,0,2024357,-74.1616,-138.2999,0,0,0
-74.1295,-138.4279,0,2024358,-74.1779,-138.3574,0,0,0
-74.1754,-138.4791,0,2024359,-74.1948,-138.4143,0,0,0
-74.2139,-138.522,0,2024360,-74.2121,-138.4741,0,0,0
-74.23,-138.54,1,2024361,-74.23,-138.54,1,9,5
-74.23,-138.54,1,2024362,-74.2481,-138.6149,0,0,0
-74.3816,-139.0885,1,2024363,-74.2663,-138.6972,0,0,0
-74.3816,-139.0885,1,2024364,-74.285,-138.7836,0,0,0
-74.3816,-139.0885,0,2024365,-74.3046,-138.8708,0,0,0
-74.3816,-139.0885,0,2024366,-74.3255,-138.9553,0,0,0
-74.3816,-139.0885,0,2025001,-74.3365,-138.9956,0,0,0
-74.3816,-139.0885,0,2025002,-74.36,-139.07,1,9,5
-74.3816,-139.0885,0,2025003,-74.39,-139.1347,0,0,0
-74.3816,-139.0885,0,2025004,-74.4283,-139.1917,0,0,0
-74.3816,-139.0885,1,2025005,-74.471,-139.2443,0,0,0
-74.358,-139.389,1,2025006,-74.5146,-139.2956,0,0,0
-74.5148,-139.4598,1,2025007,-74.555,-139.3486,0,0,0
-74.5148,-139.4598,1,2025008,-74.5886,-139.4066,0,0,0
-74.5569,-139.5469,1,2025009,-74.6115,-139.4727,0,0,0
-74.5569,-139.5469,1,2025010,-74.62,-139.55,1,9,5
-74.5573,-139.5916,0,2025011,-74.6133,-139.6451,0,0,0
-74.5583,-139.7147,0,2025012,-74.5967,-139.76,0,0,0
-74.5597,-139.9002,0,2025013,-74.575,-139.8908,0,0,0
-74.5613,-140.1319,0,2025014,-74.5533,-140.0336,0,0,0
-74.5629,-140.3934,0,2025015,-74.5367,-140.1847,0,0,0
-74.5643,-140.6688,0,2025016,-74.53,-140.34,1,9,5
-74.5653,-140.9417,0,2025017,-74.53,-140.5156,0,0,0
-74.5657,-141.196,1,2025018,-74.53,-140.7208,0,0,0
-74.5642,-141.4536,0,2025019,-74.53,-140.9415,0,0,0
-74.5591,-141.7333,1,2025020,-74.53,-141.1638,0,0,0
-74.4903,-142.0304,1,2025021,-74.53,-141.3736,0,0,0
-74.53,-141.7,1,2025022,-74.53,-141.557,0,0,0
-74.6178,-141.3296,1,2025023,-74.53,-141.7,1,9,5
-74.6178,-141.3296,1,2025024,-74.5438,-141.8192,0,0,0
-74.6178,-141.3296,1,2025025,-74.5805,-141.9375,0,0,0
-74.6178,-141.3296,0,2025026,-74.6329,-142.0504,0,0,0
-74.6178,-141.3296,1,2025027,-74.6938,-142.1531,0,0,0
-74.6291,-141.3743,0,2025028,-74.7562,-142.241,0,0,0
-74.6588,-141.4922,0,2025029,-74.8127,-142.3096,0,0,0
-74.7008,-141.6588,0,2025030,-74.8564,-142.3541,0,0,0
-74.7489,-141.8498,0,2025031,-74.88,-142.37,1,9,5
-74.797,-142.0408,0,2025032,-74.8907,-142.367,0,0,0
-74.839,-142.2074,0,2025033,-74.9003,-142.3596,0,0,0
-74.8687,-142.3253,0,2025034,-74.9084,-142.35,0,0,0
-74.88,-142.37,1,2025035,-74.9146,-142.3404,0,0,0
-74.88,-142.37,0,2025036,-74.9186,-142.333,0,0,0
-74.88,-142.37,1,2025037,-74.92,-142.33,1,9,5
-74.88,-142.37,1,2025038,-74.9195,-142.339,0,0,0
-74.88,-142.37,1,2025039,-74.9179,-142.3642,0,0,0
-74.88,-142.37,1,2025040,-74.9154,-142.4033,0,0,0
-74.88,-142.37,0,2025041,-74.912,-142.4538,0,0,0
-74.88,-142.37,1,2025042,-74.9077,-142.5132,0,0,0
-74.88,-142.37,1,2025043,-74.9025,-142.579,0,0,0
-74.8646,-142.6422,1,2025044,-74.8966,-142.6487,0,0,0
-74.8646,-142.6422,0,2025045,-74.89,-142.72,1,9,5
-74.8646,-142.6422,1,2025046,-74.8699,-142.802,0,0,0
-74.8392,-142.7101,0,2025047,-74.8294,-142.9036,0,0,0
-74.7785,-142.8845,0,2025048,-74.7769,-143.0222,0,0,0
-74.7061,-143.1218,0,2025049,-74.7212,-143.1549,0,0,0
-74.6454,-143.3782,0,2025050,-74.6707,-143.299,0,0,0
-74.62,-143.61,1,2025051,-74.6341,-143.4516,0,0,0
-74.6261,-143.7927,0,2025052,-74.62,-143.61,1,9,5
-74.6435,-143.9645,0,2025053,-74.6246,-143.7742,0,0,0
-74.6704,-144.1757,0,2025054,-74.6376,-143.9487,0,0,0
-74.7053,-144.4766,1,2025055,-74.6578,-144.1381,0,0,0
-74.7971,-145.2034,0,2025056,-74.6843,-144.3466,0,0,0
-74.9167,-146.0469,1,2025057,-74.7159,-144.5785,0,0,0
-75.0032,-146.5464,1,2025058,-74.7515,-144.8382,0,0,0
-75.2034,-146.861,1,2025059,-74.79,-145.13,1,9,5
-75.2552,-147.4844,1,2025060,-74.8612,-145.541,0,0,0
-75.3648,-147.8651,0,2025061,-74.9781,-146.1018,0,0,0
-75.4421,-148.0442,1,2025062,-75.1147,-146.7323,0,0,0
-75.4421,-148.0442,1,2025063,-75.2446,-147.3523,0,0,0
-75.4093,-148.6169,1,2025064,-75.3418,-147.8816,0,0,0
-75.4093,-148.6169,0,2025065,-75.38,-148.24,1,9,5
-75.4093,-148.6169,1,2025066,-75.3797,-148.4544,0,0,0
-75.4039,-148.6299,0,2025067,-75.3788,-148.6181,0,0,0
-75.3911,-148.6667,0,2025068,-75.3774,-148.7503,0,0,0
-75.3757,-148.7242,0,2025069,-75.3757,-148.8704,0,0,0
-75.3629,-148.7991,0,2025070,-75.3738,-148.9975,0,0,0
-75.3575,-148.8883,1,2025071,-75.3719,-149.1509,0,0,0
-75.3673,-149.0715,0,2025072,-75.37,-149.35,1,9,5
-75.3908,-149.4012,0,2025073,-75.3678,-149.6563,0,0,0
-75.4189,-149.8335,0,2025074,-75.3648,-150.0878,0,0,0
-75.4424,-150.3246,0,2025075,-75.3616,-150.5986,0,0,0
-75.4522,-150.8304,1,2025076,-75.3582,-151.1427,0,0,0
-75.4019,-151.4655,0,2025077,-75.3551,-151.6738,0,0,0
-75.3515,-152.0971,1,2025078,-75.3524,-152.1461,0,0,0
-75.3619,-152.5142,1,2025079,-75.3507,-152.5135,0,0,0
-75.2971,-152.7238,1,2025080,-75.35,-152.73,1,9,5
-75.2948,-152.8689,1,2025081,-75.3641,-152.8361,0,0,0
-75.3775,-153.0732,0,2025082,-75.3993,-152.9122,0,0,0
-75.4742,-153.2006,1,2025083,-75.445,-152.9719,0,0,0
-75.4923,-153.1642,1,2025084,-75.4907,-153.029,0,0,0
-75.5284,-153.0912,1,2025085,-75.5259,-153.0972,0,0,0
-75.4651,-153.1287,1,2025086,-75.54,-153.19,1,9,5
-75.3892,-153.3856,0,2025087,-75.5351,-153.3458,0,0,0
-75.3385,-153.7384,1,2025088,-75.5213,-153.5744,0,0,0
-75.3289,-154.0079,0,2025089,-75.5003,-153.847,0,0,0
-75.3237,-154.2843,0,2025090,-75.4736,-154.1347,0,0,0
-75.3202,-154.5292,0,2025091,-75.4426,-154.4088,0,0,0
-75.3158,-154.7043,0,2025092,-75.409,-154.6402,0,0,0
-75.3076,-154.7712,1,2025093,-75.3743,-154.8002,0,0,0
-75.2763,-154.7219,0,2025094,-75.34,-154.86,1,9,5
-75.214,-154.5957,0,2025095,-75.2959,-154.8207,0,0,0
-75.1349,-154.4252,0,2025096,-75.2363,-154.7192,0,0,0
-75.0533,-154.2429,0,2025097,-75.1693,-154.5806,0,0,0
-74.9837,-154.0815,0,2025098,-75.1031,-154.4294,0,0,0
-74.9404,-153.9736,1,2025099,-75.0457,-154.2908,0,0,0
-74.9216,-153.9034,0,2025100,-75.0053,-154.1893,0,0,0
-74.9045,-153.8683,1,2025101,-74.99,-154.15,1,9,5
-74.8771,-154.0059,1,2025102,-74.9994,-154.1753,0,0,0
-74.8049,-153.9687,1,2025103,-75.0237,-154.2445,0,0,0
-74.8415,-153.7283,1,2025104,-75.0569,-154.3477,0,0,0
-74.9176,-153.81,0,2025105,-75.0931,-154.4748,0,0,0
-75.0126,-154.0111,1,2025106,-75.1263,-154.6159,0,0,0
-75.1009,-154.5416,1,2025107,-75.1506,-154.7609,0,0,0
-75.1526,-154.9687,1,2025108,-75.16,-154.9,1,9,5
-75.191,-155.3785,0,2025109,-75.1597,-155.0581,0,0,0
-75.2103,-155.6476,1,2025110,-75.1588,-155.2517,0,0,0
-75.1734,-155.7127,1,2025111,-75.1573,-155.4584,0,0,0
-75.1282,-155.7073,0,2025112,-75.1553,-155.6554,0,0,0
-75.0796,-155.6972,0,2025113,-75.1529,-155.8201,0,0,0
-75.038,-155.6918,1,2025114,-75.15,-155.93,1,9,5
-75.0018,-155.7391,0,2025115,-75.1389,-155.9947,0,0,0
-74.9654,-155.8634,0,2025116,-75.1142,-156.0428,0,0,0
-74.9336,-156.0383,0,2025117,-75.0793,-156.08,0,0,0
-74.9111,-156.2376,0,2025118,-75.038,-156.1119,0,0,0
-74.9025,-156.4348,1,2025119,-74.9939,-156.1442,0,0,0
-74.9128,-156.6683,0,2025120,-74.9504,-156.1825,0,0,0
-74.9354,-156.9526,0,2025121,-74.9112,-156.2326,0,0,0
-74.9579,-157.2254,0,2025122,-74.88,-156.3,1,9,5
-74.9682,-157.4248,1,2025123,-74.8562,-156.4454,0,0,0
-74.8973,-157.5674,0,2025124,-74.8359,-156.6948,0,0,0
-74.7657,-157.6835,0,2025125,-74.8175,-157.0022,0,0,0
-74.6948,-157.7315,1,2025126,-74.7993,-157.3215,0,0,0
-74.6948,-157.7315,1,2025127,-74.7797,-157.6066,0,0,0
-74.6948,-157.7315,0,2025128,-74.7572,-157.8115,0,0,0
-74.6948,-157.7315,1,2025129,-74.73,-157.89,1,9,5
-74.5468,-157.3769,1,2025130,-74.6954,-157.8867,0,0,0
-74.476,-157.3524,1,2025131,-74.6529,-157.8781,0,0,0
-74.4241,-157.4418,1,2025132,-74.604,-157.8664,0,0,0
-74.3274,-157.581,0,2025133,-74.5506,-157.8536,0,0,0
-74.2617,-157.6707,1,2025134,-74.4943,-157.8419,0,0,0
-74.2617,-157.6707,1,2025135,-74.4369,-157.8333,0,0,0
-74.1767,-157.8983,1,2025136,-74.38,-157.83,1,9,5
-74.1674,-158.0397,0,2025137,-74.3129,-157.8754,0,0,0
-74.1581,-158.1753,1,2025138,-74.2317,-157.9959,0,0,0
-74.0705,-158.3716,1,2025139,-74.148,-158.1681,0,0,0
-74.0712,-158.7594,0,2025140,-74.0736,-158.3685,0,0,0
-74.073,-159.2504,0,2025141,-74.0204,-158.5736,0,0,0
-74.0756,-159.5853,1,2025142,-74,-158.76,1,9,5
-74.0859,-159.731,0,2025143,-74.0078,-158.9369,0,0,0
-74.1064,-159.8381,0,2025144,-74.0278,-159.1258,0,0,0
-74.1299,-159.9229,0,2025145,-74.0551,-159.3216,0,0,0
-74.1493,-160.002,0,2025146,-74.0849,-159.5191,0,0,0
-74.1573,-160.0918,1,2025147,-74.1122,-159.7131,0,0,0
-74.1305,-160.1844,0,2025148,-74.1322,-159.8984,0,0,0
-74.0632,-160.2714,0,2025149,-74.14,-160.07,1,9,5
-73.9755,-160.3686,0,2025150,-74.1274,-160.2223,0,0,0
-73.8872,-160.4919,1,2025151,-74.0933,-160.3585,0,0,0
-73.8018,-160.7094,0,2025152,-74.0432,-160.4867,0,0,0
-73.7031,-160.9842,0,2025153,-73.9823,-160.615,0,0,0
-73.5818,-161.175,1,2025154,-73.9162,-160.7513,0,0,0
-73.4035,-161.2478,1,2025155,-73.8503,-160.9036,0,0,0
-73.3155,-161.2024,0,2025156,-73.79,-161.08,1,9,5
-73.2769,-161.1569,1,2025157,-73.7307,-161.3128,0,0,0
-73.2953,-161.3115,1,2025158,-73.666,-161.61,0,0,0
