ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2025192,-73.71,-168.74,1,19,6
0,0,0,2025193,-73.697,-168.7855,0,0,0
0,0,0,2025194,-73.6846,-168.8287,0,0,0
0,0,0,2025195,-73.6735,-168.8679,0,0,0
0,0,0,2025196,-73.6639,-168.9013,0,0,0
0,0,0,2025197,-73.6565,-168.9272,0,0,0
0,0,0,2025198,-73.6517,-168.944,0,0,0
0,0,0,2025199,-73.65,-168.95,1,19,7
0,0,0,2025200,-73.65,-168.95,0,0,0
0,0,0,2025201,-73.65,-168.95,0,0,0
0,0,0,2025202,-73.65,-168.95,0,0,0
0,0,0,2025203,-73.65,-168.95,0,0,0
0,0,0,2025204,-73.65,-168.95,0,0,0
0,0,0,2025205,-73.65,-168.95,1,19,7
0,0,0,2025206,-73.631,-168.9597,0,0,0
0,0,0,2025207,-73.5809,-168.9847,0,0,0
0,0,0,2025208,-73.5098,-169.0191,0,0,0
0,0,0,2025209,-73.4279,-169.0568,0,0,0
0,0,0,2025210,-73.3455,-169.0918,0,0,0
-73.4565,-169.1919,1,2025211,-73.2728,-169.1182,0,0,0
-73.3794,-169.2008,0,2025212,-73.22,-169.13,1,19,7
-73.3477,-169.2044,1,2025213,-73.182,-169.132,0,0,0
-73.3477,-169.2044,1,2025214,-73.1469,-169.1333,0,0,0
-73.2673,-169.1692,1,2025215,-73.1146,-169.1342,0,0,0
-73.2673,-169.1692,1,2025216,-73.0849,-169.1349,0,0,0
-73.1996,-169.1603,1,2025217,-73.0578,-169.1355,0,0,0
-73.1972,-169.0212,0,2025218,-73.033,-169.1365,0,0,0
-73.1948,-168.8898,1,2025219,-73.0104,-169.1379,0,0,0
-73.1092,-169.0885,1,2025220,-72.99,-169.14,1,19,7
-73.0597,-169.2617,1,2025221,-72.9732,-169.1566,0,0,0
-73.0447,-169.4023,1,2025222,-72.96,-169.1979,0,0,0
-72.9717,-169.5016,1,2025223,-72.9483,-169.2589,0,0,0
-72.8828,-169.6438,1,2025224,-72.9359,-169.3346,0,0,0
-72.8065,-169.7433,1,2025225,-72.9205,-169.4199,0,0,0
-72.7349,-169.9336,1,2025226,-72.9,-169.51,1,19,7
-72.6396,-170.1694,1,2025227,-72.8645,-169.6464,0,0,0
-72.5512,-170.3893,1,2025228,-72.8096,-169.8524,0,0,0
-72.4884,-170.4667,1,2025229,-72.7416,-170.0948,0,0,0
-72.4176,-170.455,1,2025230,-72.6666,-170.3407,0,0,0
-72.3865,-170.4214,1,2025231,-72.5905,-170.5572,0,0,0
-72.3562,-170.4385,0,2025232,-72.5196,-170.7113,0,0,0
-72.3249,-170.4556,1,2025233,-72.46,-170.77,1,19,7
-72.2894,-170.453,0,2025234,-72.4073,-170.7661,0,0,0
-72.2505,-170.4464,0,2025235,-72.3543,-170.7561,0,0,0
-72.2104,-170.438,0,2025236,-72.303,-170.7424,0,0,0
-72.1713,-170.4295,0,2025237,-72.255,-170.7276,0,0,0
-72.1354,-170.4229,0,2025238,-72.2123,-170.7139,0,0,0
-72.1049,-170.4203,1,2025239,-72.1767,-170.7039,0,0,0
0,0,0,2025240,-72.15,-170.7,1,19,7
0,0,0,2025241,-72.1309,-170.7611,0,0,0
0,0,0,2025242,-72.1159,-170.9245,0,0,0
0,0,0,2025243,-72.1035,-171.1607,0,0,0
0,0,0,2025244,-72.0921,-171.4399,0,0,0
0,0,0,2025245,-72.0804,-171.7327,0,0,0
0,0,0,2025246,-72.0669,-172.0092,0,0,0
0,0,0,2025247,-72.05,-172.24,1,19,7
0,0,0,2025248,-72.0267,-172.4455,0,0,0
0,0,0,2025249,-71.997,-172.6592,0,0,0
0,0,0,2025250,-71.9635,-172.8711,0,0,0
0,0,0,2025251,-71.9292,-173.0712,0,0,0
0,0,0,2025252,-71.897,-173.2494,0,0,0
-71.824,-173.3054,1,2025253,-71.8696,-173.3957,0,0,0
-71.8349,-173.4033,0,2025254,-71.85,-173.5,1,19,7
-71.8459,-173.5071,1,2025255,-71.8367,-173.5716,0,0,0
-71.838,-173.697,1,2025256,-71.826,-173.6294,0,0,0
-71.8507,-173.974,1,2025257,-71.817,-173.6776,0,0,0
-71.8507,-173.974,1,2025258,-71.8087,-173.7205,0,0,0
-71.8108,-173.9875,1,2025259,-71.8004,-173.7624,0,0,0
-71.8108,-173.9875,0,2025260,-71.7911,-173.8074,0,0,0
-71.8108,-173.9875,1,2025261,-71.78,-173.86,1,19,7
-71.8108,-173.9875,1,2025262,-71.7667,-173.9204,0,0,0
-71.8108,-173.9875,1,2025263,-71.7516,-173.9853,0,0,0
-71.8108,-173.9875,1,2025264,-71.7353,-174.0532,0,0,0
-71.7738,-174.0887,1,2025265,-71.7181,-174.1228,0,0,0
-71.738,-174.229,1,2025266,-71.7006,-174.1927,0,0,0
-71.6849,-174.2859,1,2025267,-71.6831,-174.2615,0,0,0
-71.6466,-174.3464,1,2025268,-71.6661,-174.3277,0,0,0
-71.6091,-174.4374,1,2025269,-71.65,-174.39,1,19,7
