ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2025192,-73.85,-168.96,1,10,5
0,0,0,2025193,-73.837,-169.0539,0,0,0
0,0,0,2025194,-73.8246,-169.1426,0,0,0
0,0,0,2025195,-73.8135,-169.2227,0,0,0
0,0,0,2025196,-73.8039,-169.2908,0,0,0
0,0,0,2025197,-73.7965,-169.3437,0,0,0
0,0,0,2025198,-73.7917,-169.3779,0,0,0
0,0,0,2025199,-73.79,-169.39,1,9,5
0,0,0,2025200,-73.79,-169.3897,0,0,0
0,0,0,2025201,-73.79,-169.3888,0,0,0
0,0,0,2025202,-73.79,-169.3873,0,0,0
0,0,0,2025203,-73.79,-169.3854,0,0,0
0,0,0,2025204,-73.79,-169.3829,0,0,0
0,0,0,2025205,-73.79,-169.38,1,9,5
0,0,0,2025206,-73.7775,-169.3657,0,0,0
0,0,0,2025207,-73.7442,-169.3332,0,0,0
0,0,0,2025208,-73.6962,-169.2885,0,0,0
0,0,0,2025209,-73.6396,-169.2378,0,0,0
0,0,0,2025210,-73.5807,-169.187,0,0,0
0,0,0,2025211,-73.5254,-169.1424,0,0,0
0,0,0,2025212,-73.48,-169.11,1,9,5
0,0,0,2025213,-73.4415,-169.0854,0,0,0
0,0,0,2025214,-73.4034,-169.0608,0,0,0
0,0,0,2025215,-73.366,-169.0373,0,0,0
0,0,0,2025216,-73.33,-169.0157,0,0,0
0,0,0,2025217,-73.2959,-168.9972,0,0,0
0,0,0,2025218,-73.2641,-168.9828,0,0,0
0,0,0,2025219,-73.2353,-168.9734,0,0,0
0,0,0,2025220,-73.21,-168.97,1,9,5
0,0,0,2025221,-73.1897,-168.9778,0,0,0
0,0,0,2025222,-73.1737,-168.9995,0,0,0
0,0,0,2025223,-73.1594,-169.033,0,0,0
0,0,0,2025224,-73.1442,-169.0757,0,0,0
0,0,0,2025225,-73.1253,-169.1255,0,0,0
0,0,0,2025226,-73.1,-169.18,1,9,5
0,0,0,2025227,-73.0564,-169.2782,0,0,0
0,0,0,2025228,-72.9888,-169.4417,0,0,0
0,0,0,2025229,-72.9045,-169.6423,0,0,0
0,0,0,2025230,-72.8104,-169.8517,0,0,0
0,0,0,2025231,-72.7135,-170.0416,0,0,0
0,0,0,2025232,-72.6211,-170.1838,0,0,0
0,0,0,2025233,-72.54,-170.25,1,9,5
0,0,0,2025234,-72.4634,-170.2653,0,0,0
0,0,0,2025235,-72.3827,-170.2751,0,0,0
0,0,0,2025236,-72.3022,-170.2817,0,0,0
0,0,0,2025237,-72.2263,-170.2873,0,0,0
0,0,0,2025238,-72.1594,-170.294,0,0,0
0,0,0,2025239,-72.1058,-170.3042,0,0,0
0,0,0,2025240,-72.07,-170.32,1,9,5
0,0,0,2025241,-72.0478,-170.4212,0,0,0
0,0,0,2025242,-72.031,-170.6579,0,0,0
0,0,0,2025243,-72.0176,-170.9876,0,0,0
0,0,0,2025244,-72.0057,-171.3681,0,0,0
0,0,0,2025245,-71.9934,-171.7569,0,0,0
0,0,0,2025246,-71.9788,-172.1117,0,0,0
0,0,0,2025247,-71.96,-172.39,1,9,5
0,0,0,2025248,-71.9309,-172.6135,0,0,0
0,0,0,2025249,-71.8904,-172.8295,0,0,0
0,0,0,2025250,-71.8444,-173.0344,0,0,0
0,0,0,2025251,-71.7986,-173.2246,0,0,0
0,0,0,2025252,-71.7588,-173.3963,0,0,0
0,0,0,2025253,-71.7307,-173.546,0,0,0
0,0,0,2025254,-71.72,-173.67,1,9,5
0,0,0,2025255,-71.725,-173.7748,0,0,0
0,0,0,2025256,-71.7378,-173.8698,0,0,0
0,0,0,2025257,-71.7554,-173.9557,0,0,0
0,0,0,2025258,-71.7746,-174.0331,0,0,0
0,0,0,2025259,-71.7922,-174.1025,0,0,0
0,0,0,2025260,-71.805,-174.1646,0,0,0
0,0,0,2025261,-71.81,-174.22,1,9,5
0,0,0,2025262,-71.8078,-174.2691,0,0,0
0,0,0,2025263,-71.8018,-174.3127,0,0,0
0,0,0,2025264,-71.793,-174.352,0,0,0
0,0,0,2025265,-71.7823,-174.3883,0,0,0
0,0,0,2025266,-71.7707,-174.423,0,0,0
0,0,0,2025267,-71.7592,-174.4573,0,0,0
0,0,0,2025268,-71.7486,-174.4926,0,0,0
0,0,0,2025269,-71.74,-174.53,1,9,5
0,0,0,2025270,-71.7333,-174.5697,0,0,0
0,0,0,2025271,-71.7276,-174.6107,0,0,0
0,0,0,2025272,-71.7228,-174.6525,0,0,0
0,0,0,2025273,-71.7184,-174.6949,0,0,0
0,0,0,2025274,-71.7144,-174.7374,0,0,0
0,0,0,2025275,-71.7103,-174.7797,0,0,0
0,0,0,2025276,-71.706,-174.8215,0,0,0
0,0,0,2025277,-71.7012,-174.8623,0,0,0
0,0,0,2025278,-71.6955,-174.9019,0,0,0
0,0,0,2025279,-71.6889,-174.9398,0,0,0
0,0,0,2025280,-71.6809,-174.9757,0,0,0
0,0,0,2025281,-71.6714,-175.0092,0,0,0
0,0,0,2025282,-71.66,-175.04,1,9,5
0,0,0,2025283,-71.6232,-175.0661,0,0,0
0,0,0,2025284,-71.5482,-175.0875,0,0,0
0,0,0,2025285,-71.4511,-175.1067,0,0,0
0,0,0,2025286,-71.3477,-175.126,0,0,0
0,0,0,2025287,-71.2541,-175.1481,0,0,0
0,0,0,2025288,-71.1862,-175.1752,0,0,0
0,0,0,2025289,-71.16,-175.21,1,9,5
0,0,0,2025290,-71.1617,-175.2645,0,0,0
0,0,0,2025291,-71.1659,-175.3452,0,0,0
0,0,0,2025292,-71.1718,-175.4465,0,0,0
0,0,0,2025293,-71.1782,-175.5624,0,0,0
0,0,0,2025294,-71.1841,-175.6872,0,0,0
0,0,0,2025295,-71.1883,-175.815,0,0,0
0,0,0,2025296,-71.19,-175.94,1,9,5
0,0,0,2025297,-71.1878,-176.0839,0,0,0
0,0,0,2025298,-71.1817,-176.2613,0,0,0
0,0,0,2025299,-71.172,-176.456,0,0,0
0,0,0,2025300,-71.1594,-176.6517,0,0,0
0,0,0,2025301,-71.1444,-176.8322,0,0,0
0,0,0,2025302,-71.1275,-176.9813,0,0,0
0,0,0,2025303,-71.1092,-177.0826,0,0,0
0,0,0,2025304,-71.09,-177.12,1,9,5
0,0,0,2025305,-71.063,-177.1073,0,0,0
0,0,0,2025306,-71.0237,-177.0744,0,0,0
0,0,0,2025307,-70.9766,-177.0295,0,0,0
0,0,0,2025308,-70.9263,-176.9805,0,0,0
-70.6785,-176.9808,1,2025309,-70.8771,-176.9356,0,0,0
-70.6785,-176.9808,1,2025310,-70.8335,-176.9027,0,0,0
-70.6785,-176.9808,1,2025311,-70.8,-176.89,1,9,5
-70.6785,-176.9808,1,2025312,-70.7752,-176.9055,0,0,0
-70.6856,-177.2052,1,2025313,-70.7541,-176.9455,0,0,0
-70.6856,-177.2052,1,2025314,-70.7354,-177.0002,0,0,0
-70.6856,-177.2052,1,2025315,-70.7178,-177.0598,0,0,0
-70.6317,-177.2425,1,2025316,-70.7002,-177.1145,0,0,0
-70.6317,-177.2425,1,2025317,-70.6814,-177.1545,0,0,0
-70.6317,-177.2425,1,2025318,-70.66,-177.17,1,9,5
-70.5921,-177.0612,1,2025319,-70.6373,-177.1683,0,0,0
-70.5921,-177.0612,1,2025320,-70.6148,-177.1641,0,0,0
