ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-66.9148,65.5724,1,2025302,-66.89,65.58,1,10,4
-66.9148,65.5724,1,2025303,-66.89,65.58,1,10,4
-66.9148,65.5724,1,2025304,-66.89,65.58,1,10,4
-66.9148,65.5724,1,2025305,-66.8892,65.5745,0,0,0
-66.9148,65.5724,1,2025306,-66.8869,65.5587,0,0,0
-66.9148,65.5724,1,2025307,-66.8833,65.5335,0,0,0
-66.9148,65.5724,1,2025308,-66.8786,65.5001,0,0,0
-66.8967,65.5627,1,2025309,-66.8731,65.4594,0,0,0
-66.9064,65.4961,1,2025310,-66.8668,65.4123,0,0,0
-66.89,65.4046,1,2025311,-66.86,65.36,1,10,2
-66.8533,65.4353,1,2025312,-66.8497,65.2645,0,0,0
-66.8533,65.4353,1,2025313,-66.8337,65.0999,0,0,0
-66.8533,65.4353,1,2025314,-66.8139,64.8851,0,0,0
-66.904,64.97,1,2025315,-66.7919,64.6388,0,0,0
-66.8021,64.2783,1,2025316,-66.7694,64.38,0,0,0
-66.7331,63.9895,1,2025317,-66.7482,64.1274,0,0,0
-66.6748,63.7594,1,2025318,-66.73,63.9,1,10,2
-66.6656,63.558,1,2025319,-66.7126,63.695,0,0,0
-66.6181,63.235,1,2025320,-66.6937,63.4947,0,0,0
-66.6374,63.0278,1,2025321,-66.6748,63.2955,0,0,0
-66.6654,62.7588,1,2025322,-66.6575,63.094,0,0,0
-66.6575,62.5856,1,2025323,-66.6432,62.8866,0,0,0
-66.6168,62.4553,1,2025324,-66.6336,62.6698,0,0,0
-66.5866,62.3332,1,2025325,-66.63,62.44,1,10,2
-66.659,62.1438,1,2025326,-66.6366,62.1907,0,0,0
-66.7948,61.6525,1,2025327,-66.6538,61.9221,0,0,0
-66.7897,61.47,1,2025328,-66.6772,61.6404,0,0,0
-66.7465,60.8425,1,2025329,-66.7028,61.352,0,0,0
-66.6604,59.8347,1,2025330,-66.7262,61.0633,0,0,0
-66.6113,59.5008,1,2025331,-66.7434,60.7805,0,0,0
-66.5595,59.4623,1,2025332,-66.75,60.51,1,10,2
-66.5589,59.3386,1,2025333,-66.738,60.2428,0,0,0
-66.5444,59.3378,1,2025334,-66.7055,59.9702,0,0,0
-66.5009,59.2141,1,2025335,-66.6582,59.6988,0,0,0
