ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-66.834,81.02,1,2026016,-66.84,81.05,1,14,7
-66.834,81.02,1,2026017,-66.84,81.05,1,14,7
-66.834,81.02,1,2026018,-66.84,81.05,1,14,7
-66.834,81.02,1,2026036,-66.84,81.05,1,14,7
-66.834,81.02,1,2026037,-66.84,81.05,1,14,7
-66.834,81.02,1,2026038,-66.84,81.05,1,14,7
-66.834,81.02,0,2026039,-66.84,81.05,0,0,0
-66.834,81.02,0,2026040,-66.84,81.05,0,0,0
-66.834,81.02,1,2026041,-66.84,81.05,1,14,7
-66.834,81.02,1,2026042,-66.84,81.05,1,14,7
-66.834,81.02,1,2026043,-66.84,81.05,1,14,7
-66.834,81.02,1,2026044,-66.84,81.05,1,14,7
-66.834,81.02,1,2026045,-66.8396,81.0487,0,0,0
-66.834,81.02,1,2026046,-66.8385,81.0452,0,0,0
-66.834,81.02,0,2026047,-66.8369,81.04,0,0,0
-66.834,81.02,0,2026048,-66.8349,81.0337,0,0,0
-66.834,81.02,0,2026049,-66.8325,81.0268,0,0,0
-66.834,81.02,1,2026050,-66.83,81.02,1,14,7
-66.834,81.02,1,2026051,-66.8263,81.0115,0,0,0
-66.834,81.02,1,2026052,-66.8209,81.0003,0,0,0
-66.8291,81.0141,0,2026053,-66.8143,80.9876,0,0,0
-66.8182,81.0011,0,2026054,-66.8073,80.9749,0,0,0
-66.8073,80.9881,0,2026055,-66.8005,80.9635,0,0,0
-66.8024,80.9822,1,2026056,-66.7945,80.9547,0,0,0
-66.8024,80.9822,1,2026057,-66.79,80.95,1,14,7
-66.8024,80.9822,1,2026058,-66.7865,80.9478,0,0,0
-66.8024,80.9822,0,2026059,-66.7829,80.9459,0,0,0
-66.8024,80.9822,0,2026060,-66.7796,80.9442,0,0,0
-66.8024,80.9822,0,2026061,-66.7765,80.9427,0,0,0
-66.8024,80.9822,1,2026062,-66.7739,80.9416,0,0,0
-66.8024,80.9822,1,2026063,-66.7718,80.9407,0,0,0
-66.8024,80.9822,1,2026064,-66.7705,80.9402,0,0,0
-66.8054,80.981,0,2026065,-66.77,80.94,1,14,7
-66.8122,80.9783,0,2026066,-66.7728,80.9417,0,0,0
-66.8189,80.9755,0,2026067,-66.7799,80.9459,0,0,0
-66.8219,80.9743,1,2026068,-66.7897,80.9518,0,0,0
-66.8219,80.9743,1,2026069,-66.8003,80.9582,0,0,0
-66.8219,80.9743,1,2026070,-66.8101,80.9641,0,0,0
-66.8219,80.9743,0,2026071,-66.8172,80.9683,0,0,0
-66.8219,80.9743,0,2026072,-66.82,80.97,1,14,7
-66.8219,80.9743,0,2026073,-66.8189,80.9628,0,0,0
-66.8219,80.9743,1,2026074,-66.816,80.9431,0,0,0
-66.8219,80.9743,1,2026075,-66.8121,80.9139,0,0,0
-66.8198,80.8622,1,2026076,-66.8079,80.8781,0,0,0
-66.8227,80.7825,0,2026077,-66.804,80.8386,0,0,0
-66.829,80.711,0,2026078,-66.8011,80.7982,0,0,0
-66.8352,80.6593,0,2026079,-66.8,80.76,1,14,7
-66.8381,80.6395,1,2026080,-66.801,80.7183,0,0,0
-66.8381,80.6395,1,2026081,-66.8036,80.6687,0,0,0
-66.8381,80.6395,1,2026082,-66.8074,80.6162,0,0,0
-66.8436,80.6152,0,2026083,-66.8117,80.5656,0,0,0
-66.8557,80.5618,0,2026084,-66.8161,80.5219,0,0,0
-66.8678,80.5084,0,2026085,-66.82,80.49,1,14,7
-66.8733,80.4841,1,2026086,-66.8233,80.4673,0,0,0
-66.8733,80.4841,1,2026087,-66.8263,80.4476,0,0,0
-66.87,80.4346,1,2026088,-66.8293,80.4303,0,0,0
-66.8648,80.4359,0,2026089,-66.8324,80.4149,0,0,0
-66.8584,80.4387,0,2026090,-66.8358,80.4007,0,0,0
-66.8529,80.4416,0,2026091,-66.8397,80.3873,0,0,0
-66.8506,80.4429,1,2026092,-66.8444,80.3739,0,0,0
-66.8782,80.3407,1,2026093,-66.85,80.36,1,14,7
-66.8835,80.4206,1,2026094,-66.8591,80.3466,0,0,0
-66.8849,80.4329,0,2026095,-66.8731,80.3345,0,0,0
-66.8854,80.4411,0,2026096,-66.8903,80.3231,0,0,0
-66.8862,80.4455,0,2026097,-66.9092,80.3117,0,0,0
-66.888,80.4469,1,2026098,-66.9282,80.2995,0,0,0
-66.9559,80.3439,1,2026099,-66.9457,80.2858,0,0,0
-67.022,80.1754,1,2026100,-66.96,80.27,1,14,7
-67.0444,80.1389,0,2026101,-66.9717,80.2512,0,0,0
-67.0609,80.1139,0,2026102,-66.9826,80.2294,0,0,0
-67.071,80.0996,0,2026103,-66.9927,80.205,0,0,0
-67.0745,80.095,1,2026104,-67.0024,80.1785,0,0,0
-67.0745,80.095,1,2026105,-67.0117,80.1502,0,0,0
-67.055,80.1037,1,2026106,-67.0208,80.1205,0,0,0
-67.057,80.1032,0,2026107,-67.03,80.09,1,14,7
-67.0623,80.1015,0,2026108,-67.0391,80.0564,0,0,0
-67.0701,80.0981,0,2026109,-67.0479,80.0183,0,0,0
-67.0793,80.0929,1,2026110,-67.0565,79.9774,0,0,0
-67.0953,80.0342,1,2026111,-67.0649,79.9355,0,0,0
-67.0747,80.0578,1,2026112,-67.0733,79.8941,0,0,0
0,0,0,2026113,-67.0816,79.8551,0,0,0
0,0,0,2026114,-67.09,79.82,1,14,7
0,0,0,2026115,-67.0984,79.7881,0,0,0
0,0,0,2026116,-67.1068,79.7575,0,0,0
0,0,0,2026117,-67.1152,79.7283,0,0,0
0,0,0,2026118,-67.1235,79.7006,0,0,0
0,0,0,2026119,-67.1318,79.6745,0,0,0
0,0,0,2026120,-67.14,79.65,1,14,7
