ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2023251,-69.38,17.14,1,34,10
0,0,0,2023273,-69.58,11.84,1,34,10
0,0,0,2023274,-69.5839,11.7441,0,0,0
-69.5796,11.522,1,2023275,-69.5869,11.6641,0,0,0
-69.5969,11.5344,1,2023276,-69.5895,11.5938,0,0,0
-69.6009,11.479,1,2023277,-69.5922,11.5272,0,0,0
-69.6079,11.4039,0,2023278,-69.5955,11.4579,0,0,0
-69.6171,11.3155,0,2023279,-69.6,11.38,1,34,10
-69.6258,11.233,0,2023280,-69.6088,11.2855,0,0,0
-69.6312,11.1756,1,2023281,-69.6232,11.1766,0,0,0
-69.6332,11.1467,1,2023282,-69.6405,11.0619,0,0,0
-69.6626,10.8457,1,2023283,-69.6584,10.9501,0,0,0
-69.6708,10.8147,0,2023284,-69.6743,10.8501,0,0,0
-69.6766,10.8017,0,2023285,-69.6857,10.7705,0,0,0
-69.6801,10.7908,0,2023286,-69.69,10.72,1,34,10
-69.6812,10.7658,1,2023287,-69.6883,10.6918,0,0,0
-69.6779,10.6773,1,2023288,-69.6841,10.6713,0,0,0
-69.6922,10.5972,1,2023289,-69.6782,10.6555,0,0,0
-69.6852,10.607,0,2023290,-69.6718,10.6414,0,0,0
-69.6699,10.6285,0,2023291,-69.6659,10.6261,0,0,0
-69.6546,10.6499,0,2023292,-69.6617,10.6066,0,0,0
-69.6476,10.6597,1,2023293,-69.66,10.58,1,34,10
-69.66,10.6088,1,2023294,-69.6637,10.5411,0,0,0
-69.6761,10.5008,1,2023295,-69.673,10.4884,0,0,0
-69.691,10.386,0,2023296,-69.685,10.4237,0,0,0
-69.7056,10.2687,0,2023297,-69.697,10.3494,0,0,0
-69.7194,10.1453,0,2023298,-69.7063,10.2675,0,0,0
-69.732,10.0121,0,2023299,-69.71,10.18,1,34,10
-69.743,9.8655,1,2023300,-69.7095,10.0805,0,0,0
-69.7505,9.7043,0,2023301,-69.7081,9.9628,0,0,0
-69.7598,9.497,1,2023302,-69.706,9.8298,0,0,0
-69.7881,9.159,1,2023303,-69.7033,9.6841,0,0,0
-69.7313,8.9571,0,2023304,-69.7002,9.5286,0,0,0
-69.6534,8.8063,1,2023305,-69.6969,9.3659,0,0,0
-69.6117,8.703,0,2023306,-69.6934,9.1988,0,0,0
-69.5785,8.6181,0,2023307,-69.69,9.03,1,34,10
-69.5649,8.475,1,2023308,0,0,0,0,0
-69.5837,8.0221,1,2023309,0,0,0,0,0
-69.5833,7.7732,0,2023310,0,0,0,0,0
-69.5821,7.5896,1,2023311,0,0,0,0,0
